
** repeat 0 **
loading ../../outputs/repeat-0/sigarra
using chunked sentences from out-conll-sigarra.txt
5197 chunks, training on 5197
training ClassifierChunker with ['DecisionTree'] classifier
Constructing training corpus for classifier.
Training classifier (140486 instances)
training DecisionTree classifier
best stump for 140486 toks uses word                 err=0.0952
best stump for     48 toks uses prevpos              err=0.0000
best stump for     31 toks uses previob              err=0.0000
best stump for     13 toks uses prevword             err=0.0000
best stump for    785 toks uses previob              err=0.0255
best stump for      6 toks uses nextpos              err=0.0000
best stump for    180 toks uses prevword             err=0.0333
best stump for      4 toks uses nextpos              err=0.0000
best stump for      2 toks uses None                 err=0.5000
best stump for     32 toks uses nextword             err=0.0000
best stump for      3 toks uses None                 err=0.3333
best stump for      4 toks uses nextpos              err=0.0000
best stump for    174 toks uses previob              err=0.0230
best stump for     99 toks uses prevword             err=0.0101
best stump for      6 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      5 toks uses nextpos              err=0.0000
best stump for      8 toks uses prevword             err=0.0000
best stump for      8 toks uses prevword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     29 toks uses prevword             err=0.0000
best stump for     35 toks uses prevword             err=0.0857
best stump for     11 toks uses nextword             err=0.0909
best stump for      5 toks uses None                 err=0.2000
best stump for     13 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for     11 toks uses previob              err=0.0000
best stump for     15 toks uses nextword             err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      5 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for     23 toks uses nextword             err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      8 toks uses previob              err=0.1250
best stump for     31 toks uses nextword             err=0.1613
best stump for      2 toks uses None                 err=0.5000
best stump for      8 toks uses previob              err=0.0000
best stump for      3 toks uses prevpos              err=0.0000
best stump for     18 toks uses prevword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      5 toks uses None                 err=0.2000
best stump for     64 toks uses prevword             err=0.0781
best stump for      2 toks uses nextword             err=0.0000
best stump for      4 toks uses previob              err=0.0000
best stump for      6 toks uses previob              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     19 toks uses prevword             err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      8 toks uses prevword             err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      4 toks uses previob              err=0.0000
best stump for     14 toks uses prevpos              err=0.0000
best stump for      4 toks uses prevword             err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for     75 toks uses prevword             err=0.1733
best stump for      5 toks uses None                 err=0.2000
best stump for      5 toks uses None                 err=0.2000
best stump for      9 toks uses previob              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for     35 toks uses nextword             err=0.1429
best stump for     16 toks uses previob              err=0.1875
best stump for     14 toks uses None                 err=0.2143
best stump for     13 toks uses nextword             err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
