
** training iterations **

** repeat 0 **

** iterations value: 160 **

** training categories **
Indexing events using cutoff of 5

	Computing event counts...  done. 59062 events
	Indexing...  done.
Sorting and merging events... done. Reduced 59062 events to 55254.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 55254
	    Number of Outcomes: 21
	  Number of Predicates: 16579
...done.
Computing model parameters ...
Performing 160 iterations.
 40:  ... loglikelihood=-6776.132927781062	0.9813893924526419
 41:  ... loglikelihood=-6675.1413591690225	0.9816721273304838
 42:  ... loglikelihood=-6578.454206897262	0.9818883363547158
 43:  ... loglikelihood=-6485.784577350623	0.9821710712325578
 44:  ... loglikelihood=-6396.8710998522965	0.9824039117201923
 45:  ... loglikelihood=-6311.475119831004	0.9827531724516441
 46:  ... loglikelihood=-6229.378256799078	0.9829194870856687
 47:  ... loglikelihood=-6150.380272690077	0.9831356961099007
 48:  ... loglikelihood=-6074.297205261661	0.9832853792805228
 49:  ... loglikelihood=-6000.959728711767	0.9834350624511451
 50:  ... loglikelihood=-5930.211709742584	0.9836346400119746
 51:  ... loglikelihood=-5861.908932307061	0.9838175861094017
 52:  ... loglikelihood=-5795.917968397103	0.9840836895238412
 53:  ... loglikelihood=-5732.115175655603	0.9842998985480732
 54:  ... loglikelihood=-5670.3858054375805	0.9843664244016831
 55:  ... loglikelihood=-5610.623207328022	0.9845826334259151
 56:  ... loglikelihood=-5552.7281181175495	0.98468242220633
 57:  ... loglikelihood=-5496.608024916565	0.9847822109867447
 58:  ... loglikelihood=-5442.176593509648	0.9848819997671595
 59:  ... loglikelihood=-5389.353154250927	0.9849485256207694
 60:  ... loglikelihood=-5338.062238828038	0.985114840254794
 61:  ... loglikelihood=-5288.233162090466	0.9851647346450014
 62:  ... loglikelihood=-5239.799643886292	0.9852478919620138
 63:  ... loglikelihood=-5192.699466490063	0.9854142065960384
 64:  ... loglikelihood=-5146.874163754454	0.9855971526934655
 65:  ... loglikelihood=-5102.268738593339	0.9857468358640877
 66:  ... loglikelihood=-5058.831405812926	0.9857800987908926
 67:  ... loglikelihood=-5016.513357662548	0.9858965190347099
 68:  ... loglikelihood=-4975.268549785462	0.9860628336687345
 69:  ... loglikelihood=-4935.053505517067	0.9861626224491493
 70:  ... loglikelihood=-4895.827136712326	0.986295674156369
 71:  ... loglikelihood=-4857.550579488465	0.9864120944001863
 72:  ... loglikelihood=-4820.18704344537	0.9865285146440035
 73:  ... loglikelihood=-4783.701673086818	0.9865784090342109
 74:  ... loglikelihood=-4748.061420298608	0.9866948292780282
 75:  ... loglikelihood=-4713.23492686415	0.9868278809852479
 76:  ... loglikelihood=-4679.19241610329	0.9869609326924677
 77:  ... loglikelihood=-4645.905592814698	0.9869775641558701
 78:  ... loglikelihood=-4613.347550785073	0.9870274585460774
 79:  ... loglikelihood=-4581.492687203634	0.9871106158630898
 80:  ... loglikelihood=-4550.316623384554	0.9871605102532972
 81:  ... loglikelihood=-4519.7961312597	0.9872104046435046
 82:  ... loglikelihood=-4489.909065154287	0.9872602990337119
 83:  ... loglikelihood=-4460.634298406901	0.9873933507409317
 84:  ... loglikelihood=-4431.951664434049	0.9874765080579441
 85:  ... loglikelihood=-4403.841901879078	0.9875264024481514
 86:  ... loglikelihood=-4376.286603516404	0.9875929283017613
 87:  ... loglikelihood=-4349.268168613285	0.9876927170821761
 88:  ... loglikelihood=-4322.76975847754	0.9877426114723834
 89:  ... loglikelihood=-4296.775254943673	0.9878257687893958
 90:  ... loglikelihood=-4271.269221572443	0.9878590317162007
 91:  ... loglikelihood=-4246.236867356821	0.9878922946430057
 92:  ... loglikelihood=-4221.66401274742	0.9880419778136278
 93:  ... loglikelihood=-4197.5370578238435	0.9880918722038352
 94:  ... loglikelihood=-4173.842952455445	0.9881251351306402
 95:  ... loglikelihood=-4150.569168305924	0.9882082924476525
 96:  ... loglikelihood=-4127.703672549973	0.988224923911055
 97:  ... loglikelihood=-4105.234903179557	0.9883413441548722
