
** training sigarra **

** repeat 0 **
Indexing events using cutoff of 4

	Computing event counts...  done. 128056 events
	Indexing...  done.
Sorting and merging events... done. Reduced 128056 events to 102562.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 102562
	    Number of Outcomes: 17
	  Number of Predicates: 50323
...done.
Computing model parameters ...
Performing 170 iterations.
128:  ... loglikelihood=-3554.877837478968	0.9962262694860318
129:  ... loglikelihood=-3537.508049861429	0.9962339867263467
130:  ... loglikelihood=-3520.365583192723	0.9962417039666616
131:  ... loglikelihood=-3503.4457016179913	0.9962571384472912
132:  ... loglikelihood=-3486.743804010949	0.9962802901682358
133:  ... loglikelihood=-3470.2554191260347	0.9962880074085507
134:  ... loglikelihood=-3453.976200960923	0.9962880074085507
135:  ... loglikelihood=-3437.901924319411	0.9963034418891804
136:  ... loglikelihood=-3422.0284805637225	0.9963343108504399
137:  ... loglikelihood=-3406.3518735477724	0.9963420280907548
138:  ... loglikelihood=-3390.8682157215235	0.9963497453310696
139:  ... loglikelihood=-3375.5737243979397	0.9963420280907548
140:  ... loglikelihood=-3360.464718176141	0.9963497453310696
141:  ... loglikelihood=-3345.5376135106585	0.9963651798116994
142:  ... loglikelihood=-3330.788921421959	0.996388331532644
143:  ... loglikelihood=-3316.215244340148	0.9963960487729588
144:  ... loglikelihood=-3301.8132730763878	0.9964192004939034
145:  ... loglikelihood=-3287.579783914874	0.9964269177342182
146:  ... loglikelihood=-3273.5116358209757	0.996442352214848
147:  ... loglikelihood=-3259.605767759678	0.9964500694551628
148:  ... loglikelihood=-3245.8591961183765	0.9964655039357926
149:  ... loglikelihood=-3232.2690122306826	0.9964886556567372
150:  ... loglikelihood=-3218.8323799956065	0.9964886556567372
151:  ... loglikelihood=-3205.5465335882186	0.9965349590986263
152:  ... loglikelihood=-3192.4087752569903	0.996550393579256
153:  ... loglikelihood=-3179.416473205843	0.9965658280598858
154:  ... loglikelihood=-3166.5670595542288	0.9965658280598858
155:  ... loglikelihood=-3153.8580283744823	0.9965735453002007
156:  ... loglikelihood=-3141.286933801516	0.9965812625405155
